ID,SMILES,IC50,pIC50
CHEMBL387748,N#Cc1cccc(c1)NCc1[nH]c(c(n1)c1ccc2c(c1)nccn2)c1cccc(n1)C,12,7.921
CHEMBL202730,CN(CCCn1cnc2c1cc(cc2)c1c2CCCn2nc1c1ccccn1)C,398,6.4
CHEMBL260923,Cc1cccc(n1)c1nn2c(c1c1ccnc3c1cc(Br)cc3)CCC2,89,7.051
CHEMBL436944,O=C(c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1)N1CCOCC1,123,6.91
CHEMBL1835534,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)ncn2)C(=S)Nc1ccccc1F,5.39,8.268
CHEMBL1835522,COc1cccc(c1)NC(=S)n1cc(c(n1)c1cccc(n1)C)c1ccc2n(c1)ncn2,2.26,8.646
CHEMBL1835518,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)ncn2)C(=S)Nc1cccc(c1)F,4.43,8.354
CHEMBL205151,COCCNC(=O)c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,91,7.041
CHEMBL2435037,Cc1cccc(n1)c1nc(cn1c1ccc2c(c1)OCO2)C(=O)N,3820,5.418
CHEMBL229654,Cc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1ccc(cc1)C(=O)N,75,7.125
CHEMBL229497,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)OCO2)CNc1ccc(cc1)C#N,360,6.444
CHEMBL425177,Cc1ccc2c(n1)c(ccn2)c1sc(nc1c1ccccn1)N,380,6.42
CHEMBL566440,Fc1ccc(cc1)C1C(NC2N1CCS2)c1ccncc1,50000,4.301
CHEMBL1237161,O1CCN(CC1)Cc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1.Cl,42,7.377
CHEMBL206544,CC(c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1)C,32,7.495
CHEMBL382799,COc1cccc(c1)c1nccc(c1)c1c[nH]nc1c1ccccn1,115,6.939
CHEMBL359724,Nc1nc(c(s1)c1ccnc2c1cccc2)c1cccnc1,3980,5.4
CHEMBL260239,CN(Cc1ccc(cc1)Oc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1)C,750,6.125
CHEMBL125846,Fc1ccc(cc1)c1cn[nH]c1c1cccc(n1)C,70,7.155
CHEMBL340203,Fc1ccc(nc1)c1n[nH]cc1c1ccnc2c1cccc2,91,7.041
CHEMBL204838,Clc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,43,7.367
CHEMBL566439,OCCOC(=O)Nc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,79,7.102
CHEMBL338713,c1ccc(nc1)c1c[nH]nc1c1ccnc2c1cccc2,150,6.824
CHEMBL229548,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1ccc(cc1)C#N,47,7.328
CHEMBL126789,Cc1cccc(n1)c1[nH]ncc1c1ccc(c(c1)F)F,151,6.821
CHEMBL1164092,N#Cc1cccc(c1)Cc1[nH]c(c(n1)c1ccc2c(n1)cccn2)c1cccc(n1)C,2250,5.648
CHEMBL1272290,CCNC(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(C(=O)CN(C)C)C,35,7.456
CHEMBL337978,Fc1ccc(cc1)c1c[nH]nc1c1ccccn1,275,6.561
CHEMBL1271471,CCNCc1ccc(cc1)N/C(=C/1\C(=O)Nc2c1ccc(c2)C(=O)N(CC)C)/c1ccccc1,32,7.495
CHEMBL1165374,N#Cc1cccc(c1)Cc1[nH]c(c(n1)c1ccc2c(c1)cccn2)c1cccc(n1)C,26,7.585
CHEMBL492634,Cc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)Cc1cccc(c1)C(=O)N,36,7.444
CHEMBL365918,Nc1nc(c(s1)c1cccc2c1cccc2)c1ccccn1,10965,4.96
CHEMBL204211,O1CCC(CC1)NCc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,47,7.328
CHEMBL208437,c1ccc(nc1)c1n[nH]cc1c1ccnc(c1)c1ccc(cc1)OCCn1cncc1,30,7.523
CHEMBL202994,C1CCN(C1)CCOc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,40,7.398
CHEMBL205156,Cc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,28,7.553
CHEMBL204139,c1ccc(nc1)c1nn2c(c1c1ccc3c(c1)nc[nH]3)CCC2,1700,5.77
CHEMBL378167,C1CCN(C1)CCCn1cnc2c1cc(cc2)c1c2CCCn2nc1c1ccccn1,246,6.609
CHEMBL206233,Cc1cccc(n1)c1nn2c(c1c1ccc3c(c1)n(CCCN1CCCC1)cn3)CCC2,74,7.131
CHEMBL184746,Nc1nc(c(s1)c1ccnc2c1cccc2)c1ccccc1F,1250,5.903
CHEMBL229599,Cc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1cccc(c1)C(=O)N,10,8
CHEMBL204966,Cc1cccc(n1)c1nn2c(c1c1ccc3c(c1)n(C)cn3)CCC2,22,7.658
CHEMBL1957672,CCCC(=O)Nc1nc(c([nH]1)c1ccc2c(c1)OCO2)c1scc(n1)C,2100,5.678
CHEMBL118928,Oc1ccc(cc1)c1c[nH]nc1c1cccc(n1)C,31,7.509
CHEMBL406411,CN1CCCC1CCCOc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,72,7.143
CHEMBL409158,C1COC(C1)COc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,130,6.886
CHEMBL409356,CN1CCN(CC1)C(=O)COc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,49,7.31
CHEMBL234655,Brc1ccc(c(c1)c1nc(Nc2ccncc2C(=O)NCCCN2CCCC2=O)c2c(n1)nccn2)F,3.2,8.495
CHEMBL606632,Cc1cccc(n1)c1c(=O)n(n(c1c1ccc2c(c1)nccn2)C)C,1030,5.987
CHEMBL10,Fc1ccc(cc1)c1nc([nH]c1c1ccncc1)c1ccc(cc1)S(=O)C,30000,4.523
CHEMBL129678,FC(c1cccc(c1)c1n[nH]cc1c1ccnc2c1cccc2)(F)F,217,6.664
CHEMBL563207,Cc1cccc(n1)c1nc(Nc2ccc3c(c2)[nH]nn3)c2c(n1)cccc2,3715,5.43
CHEMBL1272021,CCNC(=O)c1ccc2c(c1)NC(=O)/C/2=C\Nc1ccc(cc1)CN1CCCCC1,69,7.161
CHEMBL593000,Fc1cccc(c1)c1c(=O)n(n(c1c1ccc2c(c1)nccn2)C)C,990,6.004
CHEMBL592977,Clc1cccc(c1)c1c(=O)n(n(c1c1ccc2c(c1)nccn2)C)C,1900,5.721
CHEMBL1163955,N#Cc1cccc(c1)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1cccc(n1)C,231,6.636
CHEMBL1164843,Cc1cccc(n1)c1nn(cc1c1ccc2c(n1)cccn2)Cc1cccc(c1)C(=O)N,255,6.593
CHEMBL229546,N#Cc1ccc(cc1)NCc1[nH]c(c(n1)c1ccc2c(c1)nccn2)c1cccc(n1)C,42,7.377
CHEMBL500149,COc1cc2c(ccnc2cc1OC)Oc1cc(C)c(cc1C(=O)C)C,630,6.201
CHEMBL130025,c1csc(c1)c1n[nH]cc1c1ccnc2c1cccc2,353,6.452
CHEMBL441176,CN(CCCn1cnc2c1cc(cc2)c1c2CCCn2nc1c1cccc(n1)C)C,85,7.071
CHEMBL261701,OC(=O)c1ccc(cc1)Oc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,4800,5.319
CHEMBL480742,Fc1ccc(nc1C)c1nc([nH]c1c1ccc2c(c1)nccn2)N,33.5,7.475
CHEMBL182354,Nc1sc(c(n1)c1ccccn1)c1ccc2c(n1)c(C)ccn2,30,7.523
CHEMBL3260623,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1cc(F)cc(c1)F,6,8.222
CHEMBL1765756,Cc1nc(N)nc(c1)c1ccc2c(c1)[nH]nc2N,7943.28,5.1
CHEMBL1957664,CCCNC(=O)c1nc(c([nH]1)c1ccc2c(c1)OCO2)c1scc(n1)C,3900,5.409
CHEMBL389078,Cc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)OCO2)CNc1cccc(c1)C(=O)N,21,7.678
CHEMBL261674,CN1CCN(CC1)CCCOc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,74,7.131
CHEMBL387747,N#Cc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)C)c1ccc2c(c1)OCO2,46,7.337
CHEMBL3260570,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1ccccc1C,14,7.854
CHEMBL3260593,N#CCc1cccc(c1)NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C,11,7.959
CHEMBL3260599,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1ccc(cc1)Cl,11,7.959
CHEMBL3260604,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1ccc(cc1)OC(F)(F)F,60,7.222
CHEMBL3260606,C=Cc1ccc(cc1)NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C,30,7.523
CHEMBL3260609,N#CCc1ccc(cc1)NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C,25,7.602
CHEMBL3260585,CCc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)C)c1ccc2n(c1)ncn2,8,8.097
CHEMBL3260597,CC(=O)Nc1cccc(c1)NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C,15,7.824
CHEMBL204158,C1CCC(OC1)OCCCn1cnc2c1ccc(c2)c1c2CCCn2nc1c1ccccn1,6580,5.182
CHEMBL202625,Cc1cccc(n1)c1nn2c(c1c1ccc3c(c1)ncn3CCCOC1CCCCO1)CCC2,1830,5.738
CHEMBL381532,Cc1cccc(n1)c1nn2c(c1c1ccc3c(c1)n(CCCN1CCOCC1)cn3)CCC2,69,7.161
CHEMBL3341950,COc1ccc(cc1)c1cc(cnc1N)c1ccc(cc1)N1CCNCC1,95000,4.022
CHEMBL3260631,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1cccc(c1F)CN1CCOCC1,6.8,8.167
CHEMBL229496,N#Cc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)CC)c1ccc2c(c1)OCO2,73,7.137
CHEMBL382466,FC(c1cccc(c1)c1nccc(c1)c1c[nH]nc1c1ccccn1)(F)F,240,6.62
CHEMBL204063,OCCCn1cnc2c1cc(cc2)c1c2CCCn2nc1c1cccc(n1)C,41,7.387
CHEMBL203162,O1CCN(CC1)Cc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,42,7.377
CHEMBL205736,c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,107,6.971
CHEMBL3707019,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1cccc(c1)C#C,119,6.924
CHEMBL1835624,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)ncn2)C(=S)Nc1ccc(c(c1)Cl)Cl,3.78,8.423
CHEMBL1835535,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)ncn2)C(=S)Nc1ccccc1Cl,2.83,8.548
CHEMBL1835531,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)ncn2)C(=S)Nc1ccc(cc1)OC(F)(F)F,3.3,8.481
CHEMBL1835712,N#Cc1cccc(c1)NC(=S)n1nc(c(c1)c1ccc2n(c1)nc(n2)C)c1cccc(n1)C,85.3,7.069
CHEMBL1835628,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)ncn2)C(=S)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F,4.12,8.385
CHEMBL1835626,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)ncn2)C(=S)Nc1ccc(c(c1)C)C,3.54,8.451
CHEMBL1271632,O=C(c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)CN1CCCCC1)C1CCCN1,245,6.611
CHEMBL1272238,CCNC(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(C(=O)C)CCN(C)C,3,8.523
CHEMBL205427,Fc1ccccc1c1nccc(c1)c1c[nH]nc1c1ccccn1,59,7.229
CHEMBL226733,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1ccc(cc1)C(=O)N,92,7.036
CHEMBL237570,COc1ccc2c(c1)ccc(c2)c1c(nc(n1C)c1ccc(cc1C)S(=O)C)c1ccncc1,296,6.529
CHEMBL331703,CCS(=O)(=O)c1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,9290,5.032
CHEMBL6204,COc1ccc(cc1)c1c(nc2n1CCC2)c1ccccn1,5100,5.292
CHEMBL568357,OC(=O)c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,27,7.569
CHEMBL3260626,COc1cc(NCc2[nH]c(c(n2)c2ccc3n(c2)ncn3)c2cccc(n2)C)cc(c1)OC,14,7.854
CHEMBL376119,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1cccc(c1)C(=O)N,15,7.824
CHEMBL382838,Cc1cccc(n1)c1nn2c(c1c1ccc3c(c1)nc[nH]3)CCC2,47,7.328
CHEMBL377717,Cc1cccc(n1)c1nn2c(c1c1ccc3c(c1)ccn3C)CCC2,4100,5.387
CHEMBL427211,Cn1ccc2c1ccc(c2)c1c2CCCn2nc1c1ccccn1,12230,4.913
CHEMBL229547,CCc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)CNc1cccc(c1)C#N,119,6.924
CHEMBL3261094,O=C(Cn1cc(c(n1)c1cccc(n1)C)c1ccc2n(c1)ncn2)Nc1cccc(c1)C(=O)N,36,7.444
CHEMBL2024687,Cc1nn(c(c1)c1ccc2c(c1)c(=O)n(cn2)C)c1cccc(n1)C,3,8.523
CHEMBL2024692,CCn1cnc2c(c1=O)cc(cc2)c1ccnn1c1cccc(n1)C,69,7.161
CHEMBL260729,NC(=O)c1ccc(cc1)Oc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,1100,5.959
CHEMBL261625,COc1cc(OC)c2c(c1)c(ccn2)c1c2CCCn2nc1c1cccc(n1)C,3810,5.419
CHEMBL2435045,Cc1cccc(n1)c1nc(cn1c1ccc2c(c1)OCO2)CN1C(=O)c2c(C1=O)cccc2,3360,5.474
CHEMBL576062,Nc1sc(c(n1)c1ncccc1C)c1ccc2c(n1)cccn2,6,8.222
CHEMBL566234,C1CCC(CO1)NCc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,47,7.328
CHEMBL122583,CCc1cccc(n1)c1nn2c(c1c1ccnc3c1cccc3)CCC2,71,7.149
CHEMBL120907,COc1ccc(cc1)c1c2CCCn2nc1c1ccccn1,646,6.19
CHEMBL409331,CN1CCN(CC1)CCOc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,100,7
CHEMBL565815,CC(=O)Nc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,87,7.06
CHEMBL121790,Fc1ccc(cc1)c1c2CCCn2nc1c1cccc(n1)C,1320,5.879
CHEMBL437118,N#Cc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,35,7.456
CHEMBL332344,Clc1ccc2c(c1)nccc2c1c2CCCn2nc1c1cccc(n1)C,48,7.319
CHEMBL379700,C1CCC(CC1)CCOc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,81,7.092
CHEMBL120718,Cc1cccc(n1)c1nn2c(c1c1ccc(c(c1)F)F)CCC2,343,6.465
CHEMBL1765760,CNc1nc(N)nc(c1)c1ccc2c(c1)[nH]nc2N,398.11,6.4
CHEMBL362710,Nc1sc(c(n1)c1nccs1)c1ccnc2c1cccc2,1170,5.932
CHEMBL1766441,N#Cc1cccc(c1)NC(=O)Cn1nc(c(c1)c1ccc2c(c1)cccn2)c1cccc(n1)C,22,7.658
CHEMBL1765757,Nc1nc(cc(n1)c1ccc2c(c1)[nH]nc2N)C(C)C,1995.26,5.7
CHEMBL1614771,CCNc1nc(N)nc(c1)c1ccc2c(c1)n[nH]c2N,501.19,6.3
CHEMBL205260,Cc1cccc(c1)c1nccc(c1)c1c[nH]nc1c1ccccn1,191,6.719
CHEMBL341280,Brc1cccc(n1)c1[nH]ncc1c1ccnc2c1cccc2,31,7.509
CHEMBL1766453,Cc1cccc(n1)c1nn(cc1c1ccc2c(c1)cccn2)CC(=S)Nc1ccccc1,94,7.027
CHEMBL267228,OCc1ccc(cc1)c1[nH]c(c(n1)c1ccccn1)c1ccc2c(c1)OCO2,260,6.585
CHEMBL126180,c1ccc(nc1)c1nn(cc1c1ccnc2c1cccc2)Cc1ccccc1,369,6.433
CHEMBL266706,Fc1ccc(cc1)c1c(nc2n1CCS2)c1ccccn1,1600,5.796
CHEMBL566254,Fc1ccc(cc1)C1N=C(NC1c1ccncc1)c1ccc(cc1)S(=O)C,6000,5.222
CHEMBL1272022,O=C1Nc2c(/C/1=C(\c1ccccc1)/Nc1ccc(cc1)CN1CCCCC1)ccc(c2)C(=O)NCc1ccccc1,1532,5.815
CHEMBL1272127,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(S(=O)(=O)C)C)C,231,6.636
CHEMBL1765877,Nc1nc(cc(n1)c1ccc2c(c1)[nH]nc2N)N(C)C,5011.87,5.3
CHEMBL204575,ClCCOc1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1,19,7.721
CHEMBL380916,O=C(c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1)N1CCCC1,110,6.959
CHEMBL203791,CCN(CCCn1cnc2c1cc(cc2)c1c2CCCn2nc1c1cccc(n1)C)CC,122,6.914
CHEMBL268889,c1ccc(nc1)c1nc2n(c1c1ccc3c(c1)OCO3)CCC2,460,6.337
CHEMBL259821,CN(CC(=O)Nc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1)C,64,7.194
CHEMBL1835620,COc1ccccc1NC(=S)n1nc(c(c1)c1ccc2n(c1)ncn2)c1cccc(n1)C,5.69,8.245
CHEMBL2088218,COc1cc(CNc2sc(c(n2)c2cccc(n2)C)c2ccc3n(c2)ncn3)cc(c1)OC,16.5,7.783
CHEMBL2088215,Cc1cccc(n1)c1nc(sc1c1ccc2n(c1)ncn2)NCc1cc(C)cc(c1)C,22,7.658
CHEMBL2087968,Cc1cccc(n1)c1nc(sc1c1ccc2n(c1)ncn2)NCc1cccc(c1)C,11.2,7.951
CHEMBL2087967,Cc1cccc(n1)c1nc(sc1c1ccc2n(c1)ncn2)NCc1cccc(c1)Cl,10.2,7.991
CHEMBL511563,COc1ccc(cc1)c1cnc2n(c1)ncc2c1ccnc2c1cccc2,33300,4.478
CHEMBL1766456,N#Cc1cccc(c1)NC(=S)CCn1nc(c(c1)c1ccc2c(c1)cccn2)c1cccc(n1)C,232,6.635
CHEMBL1164971,N#Cc1cccc(c1)Cn1nc(c(c1)c1cccc(n1)C)c1ccc2c(c1)cccn2,34,7.469
CHEMBL126676,c1ccc(cc1)c1n[nH]cc1c1ccnc2c1cccc2,382,6.418
CHEMBL565643,Nc1nc(c(s1)c1ccc2c(n1)c(C)ccc2)c1ccccn1,30,7.523
CHEMBL6250,OC(=O)c1ccc(cc1)c1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1ccccn1,170,6.77
CHEMBL3707023,C#Cc1ccc(cc1)NCc1[nH]c(c(n1)c1ccc2c(c1)OCO2)c1cccc(n1)C,174,6.759
CHEMBL129677,Cc1cccc(n1)c1[nH]ncc1c1ccnc2c1cccc2,34,7.469
CHEMBL129760,COc1ccc(cc1)c1cn(nc1c1cccc(n1)C)C,44,7.357
CHEMBL261702,CN(C(=O)c1ccc(cc1)Oc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1)C,1100,5.959
CHEMBL3260576,C=Cc1ccccc1NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C,14,7.854
CHEMBL3260583,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1cccc(c1)Br,5,8.301
CHEMBL3260587,COc1cccc(c1)NCc1nc(c([nH]1)c1cccc(n1)C)c1ccc2n(c1)ncn2,14,7.854
CHEMBL573287,COc1ccc(cc1)Nc1nccc(c1)Oc1cc(C)c(nc1c1ccccn1)C,30,7.523
CHEMBL120245,CC(c1cccc(n1)c1nn2c(c1c1ccnc3c1cccc3)CCC2)C,1300,5.886
CHEMBL584928,COC(=O)Nc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,40,7.398
CHEMBL121554,Clc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,54,7.268
CHEMBL119936,CCSc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1,110,6.959
CHEMBL338196,c1ccc(nc1)c1n[nH]c(c1c1ccnc2c1cccc2)C1CC1,203,6.693
CHEMBL204170,Cn1cnc2c1cc(cc2)c1c2CCCn2nc1c1ccccn1,75,7.125
CHEMBL205271,CN(C(=O)c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1)C1CCOCC1,214,6.67
CHEMBL1164022,Cc1cccc(n1)c1nn(cc1c1ccc2c(c1)cccn2)Cc1cccc(c1)C(=O)N,131,6.883
CHEMBL1165694,N#Cc1cccc(c1)Cn1nc(c(c1)c1ccc2c(n1)cccn2)c1cccc(n1)C,318,6.498
CHEMBL1164957,Cc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)cccn2)Cc1cccc(c1)C(=O)N,34,7.469
CHEMBL1835713,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)nc(n2)C)C(=S)Nc1cccc(c1)C(=O)N,66.8,7.175
CHEMBL1835524,N#Cc1cccc(c1)NC(=S)n1cc(c(n1)c1cccc(n1)C)c1ccc2n(c1)ncn2,4.5,8.347
CHEMBL565644,CN(CCCn1cnc2c1ccc(c2)c1c2CCCn2nc1c1ccccn1)C,398,6.4
CHEMBL269339,Fc1ccc(cc1)c1nc([nH]c1c1ccccn1)c1ccc(cc1)C(=O)O,1500,5.824
CHEMBL122414,OCc1cccc(n1)c1nn2c(c1c1ccc(cc1)F)CCC2,2620,5.582
CHEMBL1165063,Cc1cccc(n1)c1cn(nc1c1ccc2c(c1)cccn2)Cc1cccc(c1)C(=O)N,61,7.215
CHEMBL1766444,Cc1cccc(n1)c1nn(cc1c1ccc2c(c1)cccn2)CC(=O)Nc1cccc(c1)C(=O)N,75,7.125
CHEMBL3260625,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1cc(C)cc(c1)C,14,7.854
CHEMBL411297,CCN(CCOc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1)C,85,7.071
CHEMBL341534,Clc1ccc(nc1)c1n[nH]cc1c1ccnc2c1cccc2,1760,5.754
CHEMBL496862,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)CN1CCCCC1)C,34,7.469
CHEMBL1271966,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)CN1CCCCC1)CC,625,6.204
CHEMBL500435,O=C1Nc2c(/C/1=C(\c1ccccc1)/Nc1ccc(cc1)CN1CCCCC1)cccc2,3462,5.461
CHEMBL1269806,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(C(=O)CN1CCN(CC1)C)C)C,7,8.155
CHEMBL1272181,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)C(=O)O)C,782,6.107
