Descriptor,Values
ABC,0.013302191328610213
ABCGG,0.013952780433788003
nAcid,0.0144955249807239
nBase,0.027735920468689335
nHeavyAtom,0.012056832779674398
nBridgehead,0.00128272953885767
nHetero,0.010978365843802074
nH,0.01151211146406328
nC,0.015507635787154417
nN,0.06368278556199902
nO,0.029402131918750296
nS,0.007657163926465205
nX,-0.004432445276961072
ATS0dv,0.007486777538088241
ATS1dv,0.01828946098705897
ATS2dv,0.011144793167402689
ATS3dv,0.01294380357447844
ATS5dv,0.015289451106542007
ATS6dv,0.015709451254123152
ATS7dv,0.019319732589133665
ATS8dv,0.021408085544689204
ATS0d,0.012622678337709026
ATS1d,0.013317528719921423
ATS2d,0.011722435191114933
ATS6d,0.011868487402537653
ATS7d,0.01804504243812799
ATS8d,0.022594121808338752
ATS0Z,0.0020208779119794684
ATS1Z,0.00864729917498197
ATS2Z,0.008427823708019755
ATS3Z,0.005377469215082087
ATS5Z,0.011078757321779875
ATS6Z,0.016557886397530197
ATS7Z,0.015730822494216756
ATS8Z,0.014411463742105557
ATS0m,0.0010089499957848247
ATS1m,0.008443514980866151
ATS2m,0.008164475396904347
ATS3m,0.004821546741647698
ATS4m,0.007499271477439784
ATS5m,0.011780313762874695
ATS6m,0.01793100637876366
ATS7m,0.014192036307894895
ATS8m,0.013359991753902456
ATS0v,0.01315546014337965
ATS1v,0.013028204978063673
ATS2v,0.013601331855320531
ATS6v,0.014150997000947463
ATS7v,0.02141304847937997
ATS8v,0.025511832156124292
ATS0se,0.012036943036440206
ATS1se,0.01275202860586333
ATS3se,0.012388985416649678
ATS4se,0.01171679571359574
ATS5se,0.010255687881225217
ATS6se,0.010209240112881268
ATS7se,0.014677405791976739
ATS8se,0.02240905822895156
ATS0are,0.010792488772377595
ATS1are,0.012830231287078053
ATS2are,0.012858898254048956
ATS3are,0.011867310202819503
ATS4are,0.011146665089082575
ATS5are,0.009763011568844071
ATS6are,0.010254291870589238
ATS7are,0.015073856310837463
ATS8are,0.023012195587784223
ATS0p,0.011627172036266842
ATS1p,0.012976239993924388
ATS2p,0.013355555815986797
ATS6p,0.012779241909231853
ATS7p,0.018481343985901955
ATS8p,0.025846080464990706
ATS1i,0.01268463296330058
ATS2i,0.013112690065667287
ATS3i,0.013457693990196251
ATS4i,0.012365222920132535
ATS5i,0.01096383879405849
ATS6i,0.009922569323528307
ATS7i,0.014075446750366538
ATS8i,0.0209954873640954
AATS0dv,0.007955894929157159
AATS1dv,0.020068681835441193
AATS2dv,0.015485448444974015
AATS3dv,0.022872034812660758
AATS4dv,0.024556899834422108
AATS5dv,0.02329776584475951
AATS6dv,0.01871942092541845
AATS7dv,0.01891350740319231
AATS8dv,0.02057164319055893
AATS0d,0.0292056296246348
AATS1d,0.028807105296784208
AATS2d,0.02826693009437875
AATS3d,0.025640100042980674
AATS4d,0.031694824311922165
AATS5d,0.04799548947990617
AATS6d,0.0441464052096161
AATS7d,0.05356093768020953
AATS8d,0.056315033339027654
AATS0Z,0.00037834881404119614
AATS1Z,0.012072477412122362
AATS2Z,0.010148334227367828
AATS3Z,0.0117254321659499
AATS4Z,0.008142692762738157
AATS5Z,0.014474214702415278
AATS6Z,0.012900716006291946
AATS7Z,0.012754715841525766
AATS8Z,0.01502272968399998
AATS0m,-4.5019373051680134e-07
AATS1m,0.012164804855665068
AATS2m,0.010253411570082527
AATS3m,0.011181583673183226
AATS4m,0.00850741696829882
AATS5m,0.015533585699994301
AATS6m,0.012867756564876265
AATS7m,0.012067105090282748
AATS8m,0.013609981012490113
AATS0v,0.021085791215962324
AATS1v,0.025763718780823286
AATS2v,0.028636041166332227
AATS3v,0.03615894549083665
AATS4v,0.021758438209309894
AATS5v,0.03094780134375341
AATS6v,0.03832768076444637
AATS7v,0.040285607872109885
AATS8v,0.04316294211047689
AATS0se,0.004654945111457476
AATS1se,0.012059532367037828
AATS2se,0.009158820195540374
AATS3se,0.013975640507290166
AATS4se,0.014602253470304749
AATS5se,0.014167425682773072
AATS6se,0.009945608687617291
AATS7se,0.017543583833567578
AATS8se,0.013721052819463342
AATS0pe,0.0034988988752191474
AATS1pe,0.010042872672300529
AATS2pe,0.006734247263497917
AATS3pe,0.015048442034320875
AATS4pe,0.013980832810594368
AATS5pe,0.014456423353213399
AATS6pe,0.010712389321918536
AATS7pe,0.018128381270281935
AATS8pe,0.012653825988725664
AATS0are,0.003164785301509987
AATS1are,0.010899046129347667
AATS2are,0.006490094065341401
AATS3are,0.014809980779453724
AATS4are,0.014335474610757348
AATS5are,0.014420479615042225
AATS6are,0.009845414612525083
AATS7are,0.01745541467911016
AATS8are,0.011963506845281024
AATS0p,0.010210898860275819
AATS1p,0.01755164088056471
AATS2p,0.018932761892175076
AATS3p,0.02056852062635972
AATS4p,0.012031414689617659
AATS5p,0.014102627938660905
AATS6p,0.02225023461636022
AATS7p,0.03128409067803073
AATS8p,0.03519272570216048
AATS0i,0.016958214000171168
AATS1i,0.025618729039346366
AATS2i,0.032020587118299026
AATS3i,0.03725768414617869
AATS4i,0.03921455413507324
AATS5i,0.026982091362792726
AATS6i,0.01595411148510939
AATS7i,0.03367293195761567
AATS8i,0.02544016601701582
ATSC0c,0.02363246205725522
ATSC1c,0.06255714021207259
ATSC2c,0.03665121266236637
ATSC3c,0.011371212004933628
ATSC4c,0.01420267146813492
ATSC5c,0.021833671099792618
ATSC6c,0.020347648657427886
ATSC7c,0.016782656142106944
ATSC8c,0.02387498813078981
ATSC0dv,0.007453945892090363
ATSC1dv,0.02871245497673547
ATSC2dv,0.019599130851335023
ATSC3dv,0.02583891450249043
ATSC4dv,0.017216833480952598
ATSC5dv,0.009917979858780956
ATSC6dv,0.01093263762122998
ATSC7dv,0.01624614773420152
ATSC8dv,0.030295506869217448
ATSC0d,0.01127508490908724
ATSC1d,0.012308530247322924
ATSC2d,0.011153999684687443
ATSC3d,0.023678363164098215
ATSC4d,0.026728937009258047
ATSC5d,0.024006680732528984
ATSC6d,0.03121032963258319
ATSC7d,0.039248315276963375
ATSC8d,0.03487622529404355
ATSC0Z,0.0005695756785977224
ATSC1Z,0.010457490239173861
ATSC2Z,0.028330874080403134
ATSC3Z,0.009774016571712174
ATSC4Z,0.0027350431740686965
ATSC5Z,-0.007379606934138749
ATSC6Z,-0.002936150154123851
ATSC7Z,0.0020761159861395484
ATSC8Z,0.02228215500445252
ATSC0m,0.00019671863294012937
ATSC1m,0.010376095704452748
ATSC2m,0.027756972780198286
ATSC3m,0.009505329317872846
ATSC4m,0.002524055962882521
ATSC5m,-0.00702411558619076
ATSC6m,-0.0027238934487967548
ATSC7m,0.002243488651229253
ATSC8m,0.02278786401921984
ATSC0v,0.011601939160009067
ATSC1v,0.031587245184383494
ATSC2v,0.022186633918419796
ATSC3v,0.020745358731644625
ATSC4v,0.009410777697442363
ATSC5v,0.00782011934167981
ATSC6v,0.012494654419580087
ATSC7v,0.019491091508669456
ATSC8v,0.022471199279802345
ATSC0se,0.002673244857874124
ATSC1se,0.04581902288717998
ATSC2se,0.007288274633081793
ATSC3se,0.010481380339386615
ATSC4se,0.00772436886260941
ATSC5se,0.011461303573810255
ATSC6se,0.005433450402719586
ATSC7se,0.008401153260415128
ATSC8se,0.017672594888951565
ATSC1pe,0.0403446750024159
ATSC0are,0.0003781409248859724
ATSC1are,0.046918501857506456
ATSC2are,0.008412893630036944
ATSC3are,0.009311581768621124
ATSC4are,0.007993930219119427
ATSC5are,0.013709563893394616
ATSC6are,0.003687562080143536
ATSC7are,0.00898993478850052
ATSC8are,0.01809843761235319
ATSC0p,0.0095147791410648
ATSC1p,0.028605990824681626
ATSC2p,0.023747745125756836
ATSC3p,0.023194363268878693
ATSC4p,0.009209746253232343
ATSC5p,0.01544227750931304
ATSC6p,0.009204809382834522
ATSC7p,0.02160449542236531
ATSC8p,0.017242061804429554
ATSC0i,0.003937408776097939
ATSC1i,0.04605497134278913
ATSC2i,0.019291110104394882
ATSC3i,0.04507294041330745
ATSC4i,0.01658969484267958
ATSC5i,0.029514122660173392
ATSC6i,0.006646125291772886
ATSC7i,0.03661111031492226
ATSC8i,0.025197182649029592
AATSC0c,0.022845792169730927
AATSC1c,0.07503394495346782
AATSC2c,0.030423498476732203
AATSC3c,0.011167245544898563
AATSC4c,0.014961922171356168
AATSC5c,0.01892593807786369
AATSC6c,0.023121132784857945
AATSC7c,0.020451843000985015
AATSC8c,0.030783551878951876
AATSC0dv,0.010356484342227468
AATSC1dv,0.03874892396344798
AATSC2dv,0.0244619364026617
AATSC3dv,0.03633584971291404
AATSC4dv,0.026755406795655468
AATSC5dv,0.01827918214595403
AATSC6dv,0.013207636540371492
AATSC7dv,0.022026328909529713
AATSC8dv,0.03154243632522036
AATSC0d,0.023200017569822595
AATSC1d,0.023436407463479192
AATSC2d,0.017968562338831706
AATSC3d,0.04281296421933245
AATSC4d,0.040095080662393645
AATSC5d,0.0347039486276568
AATSC6d,0.03721972366872883
AATSC7d,0.04187479670168637
AATSC8d,0.048224632389481936
AATSC0Z,-0.0005640191187020749
AATSC1Z,0.012201798642422101
AATSC2Z,0.03638471120492914
AATSC3Z,0.014911131961948598
AATSC4Z,0.006581569962879286
AATSC5Z,-0.004504116937761982
AATSC6Z,-0.0018218542467760557
AATSC7Z,0.005133308456637842
AATSC8Z,0.02980632939656047
AATSC0m,-0.0007212232168904986
AATSC1m,0.012133233468588855
AATSC2m,0.03544784811937296
AATSC3m,0.014322168906261368
AATSC4m,0.006426594555867027
AATSC5m,-0.004583869858008072
AATSC6m,-0.001657126370754547
AATSC7m,0.005098486820941606
AATSC8m,0.030265439825496898
AATSC0v,0.020896331403072566
AATSC1v,0.02458579405305361
AATSC2v,0.02537615831237172
AATSC3v,0.028713084275341583
AATSC4v,0.014477329211756818
AATSC5v,0.01741115264080273
AATSC6v,0.017440474152435215
AATSC7v,0.0262176275769761
AATSC8v,0.029131484138817942
AATSC0se,0.00450308880957917
AATSC1se,0.04402286942102318
AATSC2se,0.00858827913737703
AATSC3se,0.012916532463048469
AATSC4se,0.015327247693081247
AATSC5se,0.013520960704750173
AATSC6se,0.0074773432768600046
AATSC7se,0.012280666746988356
AATSC8se,0.0218041211215505
AATSC0pe,0.0017819764625843781
AATSC1pe,0.049136532596649296
AATSC0are,0.0015981232338548867
AATSC1are,0.05339660988157302
AATSC2are,0.010009302853980717
AATSC3are,0.01147595482028807
AATSC4are,0.015109090510210699
AATSC5are,0.016242601906933274
AATSC6are,0.0068393309188303775
AATSC7are,0.012845421538627111
AATSC8are,0.022316752773014148
AATSC0p,0.009048965361944106
AATSC1p,0.024991278508990522
AATSC2p,0.026195808902953033
AATSC3p,0.029213390916610127
AATSC4p,0.015255343378504094
AATSC5p,0.03156056895948467
AATSC6p,0.014038007635817529
AATSC7p,0.025638799634947418
AATSC8p,0.02439861792573339
AATSC0i,0.002967688638826127
AATSC1i,0.04310830405318722
AATSC2i,0.022265999289801996
AATSC3i,0.06319624213527897
AATSC4i,0.02711647654605187
AATSC5i,0.0448525057169018
AATSC6i,0.010681969359628951
AATSC7i,0.04668025003444587
AATSC8i,0.039312446711393
MATS1c,0.05394647267919206
MATS2c,0.049609037883216356
MATS3c,0.0181400889278458
MATS4c,0.02920289368824358
MATS5c,0.02338511433421475
MATS6c,0.025188951557570505
MATS7c,0.028440869086451936
MATS8c,0.03184792463955688
MATS1dv,0.028849509692577602
MATS2dv,0.03216318199618229
MATS3dv,0.0371927305628601
MATS4dv,0.031964697711284185
MATS5dv,0.016120203254020637
MATS6dv,0.014296001371416178
MATS7dv,0.02799908575564025
MATS8dv,0.03189596307952547
MATS1d,0.024041556162868627
MATS2d,0.023876825888196507
MATS3d,0.040743436556589074
MATS4d,0.038280890370656184
MATS5d,0.03415967598577163
MATS6d,0.03900069540375428
MATS7d,0.039259255311309804
MATS8d,0.04636916874371888
MATS1m,0.013996830944283278
MATS2m,0.03528899470464353
MATS3m,0.01770420180082466
MATS4m,0.011390371872805893
MATS5m,0.004392849483016992
MATS6m,0.00342691010918017
MATS7m,0.010297110060057957
MATS8m,0.03236495004378215
MATS1v,0.022031570125542466
MATS2v,0.025930222639550582
MATS3v,0.028950586866680172
MATS4v,0.015100269567844826
MATS5v,0.01745335794413716
MATS6v,0.01810669905227691
MATS7v,0.026769630124044763
MATS8v,0.029094130497556492
MATS1se,0.03361408266550292
MATS2se,0.0187908470123328
MATS3se,0.020123471457668796
MATS5se,0.019640583427364078
MATS6se,0.026962153116150134
MATS7se,0.029444965363822462
MATS8se,0.025804267718585905
MATS1are,0.03616817664723593
MATS2are,0.023728648681490938
MATS3are,0.021720894342981634
MATS4are,0.028099595431726243
MATS5are,0.02369373315504797
MATS6are,0.023736897072468288
MATS7are,0.02987202261148081
MATS8are,0.03152676311354208
MATS1p,0.0208699708213258
MATS2p,0.025253016046248078
MATS3p,0.027721100432489543
MATS4p,0.016851208474222723
MATS5p,0.029336873148502196
MATS6p,0.018737747151088335
MATS7p,0.03214566991752976
MATS8p,0.02410760191568384
MATS1i,0.04413881421774146
MATS2i,0.024831732408193696
MATS3i,0.059115374361967454
MATS4i,0.027497343760400916
MATS5i,0.03937621546558123
MATS6i,0.02572212579938249
MATS7i,0.04815492960720702
MATS8i,0.03599552844526599
GATS1c,0.039348383018836586
GATS2c,0.047430452186348226
GATS3c,0.03413220502147141
GATS4c,0.05732895025474649
GATS5c,0.044242614169878625
GATS6c,0.03504751128643413
GATS7c,0.01890006720104287
GATS8c,0.01523187871520415
GATS1dv,0.03876019072477188
GATS2dv,0.02853139784104064
GATS3dv,0.036665003395214946
GATS4dv,0.03599251794866021
GATS5dv,0.01451494401235065
GATS6dv,0.023838502461810407
GATS7dv,0.030108876177598276
GATS8dv,0.024423485361241504
GATS1d,0.016093325300125638
GATS2d,0.023701309497703438
GATS3d,0.03307232483721734
GATS4d,0.028759680917938013
GATS5d,0.03881049790047486
GATS6d,0.03195636666767365
GATS7d,0.04730377884918502
GATS8d,0.04732833835710126
GATS1m,0.020936125841739983
GATS2m,0.02084572647879357
GATS3m,0.02574965509917515
GATS4m,0.0009393390968557291
GATS5m,0.004232838189358823
GATS6m,0.004796602894079793
GATS7m,0.0010505739242887557
GATS8m,0.006418773676788447
GATS1v,0.0289832027589787
GATS2v,0.04067115457968562
GATS3v,0.022621353837517066
GATS4v,0.025343591204284976
GATS5v,0.02530673348037249
GATS6v,0.031147990423150862
GATS7v,0.029612310987850776
GATS8v,0.05284248860705265
GATS1se,0.02421142673631982
GATS2se,0.025113175893005213
GATS4se,0.029655611611896227
GATS5se,0.01903852980018872
GATS6se,0.02289154401251503
GATS7se,0.012422125023202835
GATS8se,0.020565524091924026
GATS1pe,0.022499919543055746
GATS1are,0.02299748199923446
GATS2are,0.028800547645264185
GATS3are,0.028925993360848334
GATS4are,0.033040329799151724
GATS5are,0.021837765711948176
GATS6are,0.022279585462885
GATS7are,0.020441520846949945
GATS8are,0.02039971609406921
GATS1p,0.02726745547107079
GATS2p,0.03915838417888384
GATS3p,0.02061971031135945
GATS4p,0.021791105902440044
GATS5p,0.027365999434828314
GATS6p,0.018805131591112634
GATS7p,0.017312749950701534
GATS8p,0.018675768831971418
GATS1i,0.036563659588308095
GATS2i,0.05833416138399805
GATS3i,0.03300221800076253
GATS4i,0.019154876732079718
GATS5i,0.04392209060756169
GATS6i,0.0269416006165919
GATS7i,0.029515355094351214
GATS8i,0.03883468940663182
BalabanJ,0.03456547224249995
BertzCT,0.02558081441769877
nBonds,0.012701790530235346
nBondsS,0.016261638300519632
nBondsD,0.010334550632983053
nBondsA,0.09380997118100076
nBondsM,0.07266843670312362
nBondsKS,0.013047457902912285
nBondsKD,0.04536886963606479
RNCG,0.022138922596361077
RPCG,0.016482488364386816
C1SP2,0.0368673087840623
C2SP2,0.05436881169021612
C3SP2,0.040843688685574975
C1SP3,0.02673185067388628
C2SP3,0.010969750855511107
C3SP3,-0.004309629418364158
C4SP3,0.001967741253361993
FCSP3,0.03744118838962951
Xch-5d,0.03296671561544473
Xch-6d,0.052862120871862484
Xch-7d,0.025315375473269786
Xch-3dv,-0.0002979425656573359
Xch-4dv,-0.0002979425656573706
Xch-5dv,0.01856699469227907
Xch-6dv,0.03284619787086118
Xch-7dv,0.020491474523623987
Xc-3d,0.006726978961472341
Xc-4d,0.003266700051772542
Xc-5d,0.011474814651186493
Xc-6d,0.006539829971186628
Xc-3dv,0.007766317232722919
Xc-4dv,0.0026574795636981063
Xc-5dv,0.01044577884214637
Xc-6dv,0.0029026626586462767
Xpc-4d,0.0118530191819195
Xpc-5d,0.008571751147321116
Xpc-6d,0.008939647460206146
Xpc-4dv,0.011764804178179489
Xpc-5dv,0.01126843271090161
Xpc-6dv,0.010454920390051026
Xp-1d,0.01326484024351604
Xp-2d,0.012818190640504934
Xp-3d,0.012746958482143356
Xp-4d,0.013558836397256968
Xp-5d,0.011562891137208986
Xp-6d,0.010076419880157061
Xp-7d,0.009139413924196038
AXp-1d,0.03463831258026229
AXp-2d,0.036226691653530096
AXp-3d,0.04744213324093849
AXp-4d,0.041590264101682095
AXp-5d,0.03655655876490904
AXp-6d,0.043991426841032855
AXp-7d,0.03853758473769364
Xp-0dv,0.011029196140344588
Xp-1dv,0.010604987798380261
Xp-2dv,0.01132728269041916
Xp-3dv,0.011646245197800997
Xp-4dv,0.014117653244382744
Xp-5dv,0.0130833409255251
Xp-6dv,0.011816655065035153
Xp-7dv,0.010842396755772032
AXp-0dv,0.01678414315783394
AXp-1dv,0.020203580098488327
AXp-2dv,0.022030608443931676
AXp-3dv,0.023819227929604114
AXp-4dv,0.02076230246037447
AXp-5dv,0.021701140351826353
AXp-6dv,0.016598844596620754
AXp-7dv,0.016215393639170905
SZ,0.008714341761308475
Sm,0.008206756893487821
Sv,0.01330452653446823
Sare,0.01223847125078903
Sp,0.012948790818238187
Si,0.01238750600583094
MZ,0.0077816008889683985
Mm,0.007243100209534337
Mv,0.024493938271368254
Mse,0.005003438542358962
Mpe,0.00458991343247428
Mare,0.004191838864698649
Mp,0.013315729079019789
Mi,0.020557627011843493
NsCH3,0.025754647977431988
NdCH2,-0.005540884398191628
NssCH2,0.02120422227493779
NtCH,-0.0005408791478655889
NdsCH,-0.006229365697585837
NaaCH,0.04376275156902176
NsssCH,0.0088815879105269
NtsC,-0.015696283766172048
NdssC,0.007297520284263892
NaasC,0.030975522788401655
NaaaC,0.02054859021218358
NssssC,0.0010020855246005156
NsNH2,0.00744113442508737
NssNH,0.029291906415898294
NaaNH,0.1530710432559308
NtN,-0.016132871908441426
NdsN,0.003361097318365494
NaaN,0.11668043637281977
NsssN,0.011862179987145227
NaasN,0.05968112963044914
NsOH,0.028431300763039347
NdO,0.010192095568092974
NssO,0.021935185258621148
NsF,-0.002442658543287124
NdS,0.0055794322307727295
NssS,-0.0012971205110706985
NaaS,0.0010086738173690213
NdssS,0.009756396228134956
NddssS,0.006214929322975488
NsCl,-0.010484223333715681
NsBr,-0.0013003218280318585
SsCH3,0.019799416657489965
SdCH2,-0.005441017423449976
SssCH2,0.010651634015576117
StCH,-0.0005458958630264743
SdsCH,-0.005961652839742371
SaaCH,0.0347815252267516
SsssCH,0.00353323624798918
StsC,-0.016364977953629012
SdssC,0.009326329723628124
SaasC,0.03840608417628477
SaaaC,0.017942960589189205
SssssC,-0.0043382710166728344
SsNH2,0.008111192490593333
SssNH,0.02968170306763307
SaaNH,0.1217483774498952
StN,-0.01572890628986684
SdsN,0.0033610973183655773
SaaN,0.11452728360189468
SsssN,0.01358252404217486
SaasN,0.04144846257791435
SsOH,0.02543712874587184
SdO,0.010260395313810289
SssO,0.02211968590210167
SsF,-0.0024979306418156377
SdS,0.005241484686380027
SssS,-0.0007983409920966217
SaaS,0.0007449967524882362
SdssS,1.8050331556368082
SddssS,0.23208893699744415
SsCl,-0.010154273573307837
SsBr,-0.0013210007944695207
MAXaaCH,0.02960478316424897
MAXaasC,0.044160628141374225
MINaaCH,0.057760522318870855
MINaasC,0.008790225043640909
ECIndex,-0.2921844674604017
fragCpx,0.01701647966421138
fMF,0.047026951803049055
nHBAcc,0.022500252988039815
nHBDon,0.038503553734059004
IC0,0.011173310909517564
IC1,0.04572080735159245
IC2,0.044734586584368685
IC3,0.0568937176676374
IC5,0.03016222293170845
TIC0,0.007592432605815436
TIC1,0.013523662492296307
TIC2,0.014857370140268777
TIC5,0.012115686171144002
SIC0,0.011784777084693943
SIC1,0.030353759925234147
SIC2,0.05672759689019502
SIC3,0.058105505597703555
SIC4,0.06743925065830325
SIC5,0.06228951130128113
BIC0,0.01223258735130095
BIC1,0.03249049890091493
BIC2,0.05805825741310899
BIC3,0.06518671630069939
BIC4,0.06947920647480466
BIC5,0.06012187638320743
CIC0,0.01568145623584094
CIC1,0.03175744051227758
CIC2,0.03073247855943828
CIC3,0.024806842603699142
CIC4,0.025563939538206126
CIC5,0.031880178610690146
MIC0,0.002918023306737849
MIC1,0.012447074983501505
MIC2,0.015615312708268547
MIC5,0.01180636377415567
ZMIC0,0.01544575265958903
ZMIC1,0.022069936793850164
ZMIC2,0.020969510799228264
ZMIC3,0.007563577122076559
ZMIC4,0.004039634775857337
ZMIC5,0.004036276784805004
Kier1,0.011865456404012598
Kier2,0.019413025609078094
Kier3,0.02440349775098749
FilterItLogS,0.030720540075102054
VMcGowan,0.013119640205328853
LabuteASA,0.0116134077140293
PEOE_VSA1,0.04074204176619278
PEOE_VSA2,0.04530719758067625
PEOE_VSA3,0.03174094008428563
PEOE_VSA4,0.011610157155740097
PEOE_VSA5,0.010322600016470673
PEOE_VSA6,0.013588872604104463
PEOE_VSA7,0.025306251237372734
PEOE_VSA8,0.03532885162545729
PEOE_VSA9,0.02050916899841848
PEOE_VSA10,0.031550144163479565
PEOE_VSA11,0.02358266997755043
PEOE_VSA12,0.015414600081950058
PEOE_VSA13,0.01292382404177339
SMR_VSA1,0.01900291620920358
SMR_VSA2,-0.016132871908441426
SMR_VSA3,0.07140880045167997
SMR_VSA4,0.013338923849876061
SMR_VSA5,0.021138915610379394
SMR_VSA6,0.020451212957583453
SMR_VSA7,0.03807464938433158
SMR_VSA9,0.04816485478769161
SlogP_VSA1,0.03584701848682825
SlogP_VSA2,0.01856556750510463
SlogP_VSA3,0.029638400754635752
SlogP_VSA4,0.0009058969001807249
SlogP_VSA5,0.015890589723912107
SlogP_VSA6,0.047793480045231984
SlogP_VSA7,-0.010574141035030626
SlogP_VSA8,0.07970276831768519
SlogP_VSA10,0.02303076734452647
SlogP_VSA11,0.022086030556861425
EState_VSA1,-0.00040157808715041154
EState_VSA2,0.012957091657282427
EState_VSA3,0.006955534041825917
EState_VSA4,0.025818784505758696
EState_VSA5,0.007656220685045456
EState_VSA6,0.021482883865198588
EState_VSA7,0.026586257584218398
EState_VSA8,0.03149592646903687
EState_VSA9,0.01203802953978772
EState_VSA10,0.0044897111308160875
VSA_EState1,0.0028649932226466612
VSA_EState2,0.028951345689259167
VSA_EState3,0.02656202495345772
VSA_EState4,0.02093103328016932
VSA_EState5,0.014938164291884881
VSA_EState6,0.022996761732019255
VSA_EState7,0.0314004401302701
VSA_EState8,0.019049877019017725
VSA_EState9,0.021016297735179545
MDEC-22,0.018018526018745096
MDEC-23,0.02607409711818054
MDEC-33,0.012279243508275695
MPC2,0.013324653290239574
MPC3,0.011764290760341023
MPC4,0.010497043768135761
MPC5,0.009141374997268858
MPC6,0.00822769765017517
MPC7,0.007448229741260359
MPC8,0.006684136224750947
MPC9,0.005999327530869181
MPC10,0.005576651810012212
TMPC10,0.0064933451634225925
piPC1,0.028536978034046534
piPC2,0.0361913222811574
piPC3,0.03575421114947552
piPC4,0.03172380293574317
piPC5,0.02778586940234984
piPC6,0.025473545845590806
piPC7,0.025885428837850277
piPC8,0.027417473861666153
piPC9,0.027790956356172458
piPC10,0.02828417727405519
TpiPC10,0.026482989067351248
apol,0.012948790813254618
bpol,0.016133490842133558
nRing,0.021091303424445762
n6Ring,0.03882910865705069
nHRing,0.09983358833866918
n5HRing,0.033614006237067784
n6HRing,0.0693550761723829
naRing,0.12470692544087392
n6aRing,0.07537322915050426
naHRing,0.19137145533437971
n5aHRing,0.039232824875185646
n6aHRing,0.12889049896875404
n3ARing,-0.0002979425656573706
nAHRing,0.024797489337794687
n5AHRing,0.024683571823684747
n6AHRing,0.01659242973874081
nFHRing,0.08235585290247505
n9FHRing,0.03938763263143685
nFaHRing,0.06312397159538885
n9FaHRing,0.12264690747284757
n10FaHRing,0.06574500571016761
nFAHRing,0.02695271853099901
n8FAHRing,0.02885372015141574
n9FAHRing,0.013047688403432234
n12FAHRing,
nG12FAHRing,0.00128272953885767
nRot,0.024725851947037913
RotRatio,0.03602462289628816
SLogP,0.020421789115075306
SMR,0.014360120276094346
TopoPSA(NO),0.02774881818427133
TopoPSA,0.02411719038304927
GGI1,0.010538936359318463
GGI2,0.010952112763305877
GGI3,0.010361130918179473
GGI4,0.01648876376568209
GGI5,0.016325783371701874
GGI6,0.012997902870653277
GGI7,0.027740914290109497
GGI8,0.014122271608295378
GGI9,0.016823850002976037
GGI10,0.00619798664123139
JGI1,0.024866030367710845
JGI2,0.027860027956454037
JGI3,0.022159625633398683
JGI4,0.06007817118815284
JGI5,0.05060994199659774
JGI6,0.03663743622666216
JGI7,0.03654505521285145
JGI8,0.034143733170941104
JGI9,0.03672309681012331
JGI10,0.019502976579615527
JGT10,0.04075244675546674
Radius,-0.0011862329443651232
TopoShapeIndex,0.06484937576035321
PetitjeanIndex,0.05207341702100976
Vabc,0.012004762858885965
VAdjMat,0.019601521320137483
MWC01,0.013627408711511801
MWC02,0.01945366340586796
MWC03,0.020219340164966404
MWC04,0.018605009414086382
MWC05,0.016886044143396894
MWC06,0.016051273513226327
MWC07,0.015705272499956457
MWC08,0.01563554634578601
MWC09,0.01585092710094127
MWC10,0.01607366339728067
TMWC10,0.013539773169194191
SRW02,0.019500011984158405
SRW03,-0.0002979425656573706
SRW04,0.019527864990484645
SRW05,0.07624303391899101
SRW06,0.019303330502855154
SRW07,0.15204442797674034
SRW08,0.016337905192468583
SRW09,0.16886498067021805
SRW10,0.01487263138035555
TSRW10,0.03425754057799102
MW,0.008244973308389802
AMW,0.0073955603610107445
WPath,-0.0011862212190931823
WPol,0.010016538358943006
Zagreb1,0.013312896488836934
Zagreb2,0.014027519273420719
mZagreb2,0.012492067501598036
