,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
50,-0.412290242,0.173779271,[-0.39120284 -0.36263739 -0.47402966 -0.21107094 -0.62251038],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'SaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'SaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'naRing', 'nBondsA', 'SlogP_VSA8', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'n9FHRing', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'JGI4', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'C1SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.135206177,0.067603089
49,-0.399300602,0.145318769,[-0.38972664 -0.36258361 -0.46411916 -0.21959141 -0.56048219],"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'SaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'naRing', 'nBondsA', 'SlogP_VSA8', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'n9FHRing', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'JGI4', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'C1SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.113062939,0.05653147
48,-0.401892168,0.158022364,[-0.39951853 -0.33480586 -0.48145613 -0.21699042 -0.57668991],"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'SaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'naRing', 'nBondsA', 'SlogP_VSA8', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'n9FHRing', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'C1SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.122946768,0.061473384
47,-0.403185235,0.143990567,[-0.38664217 -0.36202135 -0.48277091 -0.22760726 -0.55688449],"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'SaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'naRing', 'SlogP_VSA8', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'n9FHRing', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'C1SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.112029553,0.056014777
46,-0.400594953,0.13898683,[-0.38804621 -0.36638967 -0.45968706 -0.23076158 -0.55809024],"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'naRing', 'SlogP_VSA8', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'n9FHRing', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'C1SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.108136475,0.054068238
45,-0.387351171,0.142918124,[-0.36360058 -0.33570661 -0.48115025 -0.22063263 -0.53566578],"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'naRing', 'SlogP_VSA8', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'n9FHRing', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.111195156,0.055597578
44,-0.391303246,0.140597036,[-0.36113587 -0.35991726 -0.48472804 -0.21932455 -0.53141052],"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'SlogP_VSA8', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'n9FHRing', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.10938927,0.054694635
43,-0.388608587,0.120649076,[-0.40566709 -0.35850594 -0.47082383 -0.22419971 -0.48384636],"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'n9FHRing', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.09386908,0.04693454
42,-0.389187802,0.138125954,[-0.39239548 -0.32707721 -0.4679228  -0.2251913  -0.53335221],"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'n10FaHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.107466685,0.053733342
41,-0.381973954,0.123230885,[-0.39314019 -0.34184801 -0.47291495 -0.22052854 -0.48143809],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'nHBDon', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.095877815,0.047938908
40,-0.391169641,0.137584568,[-0.38381348 -0.36219829 -0.48394877 -0.21095888 -0.51492878],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.107045468,0.053522734
39,-0.372502693,0.12295806,[-0.3607756  -0.36412208 -0.4718816  -0.20532573 -0.46040845],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.095665548,0.047832774
38,-0.379943938,0.125451661,[-0.39982583 -0.36057018 -0.48114161 -0.20369031 -0.45449176],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.097605655,0.048802827
37,-0.387826687,0.155214382,[-0.36143875 -0.35147751 -0.47457678 -0.19821684 -0.55342355],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.120762062,0.060381031
36,-0.384512961,0.146373368,[-0.36130431 -0.35895529 -0.47744567 -0.19804676 -0.52681278],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.113883453,0.056941726
35,-0.392534387,0.143880412,[-0.39160183 -0.36441924 -0.46440958 -0.20411367 -0.53812761],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 18, 19, 20, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.111943849,0.055971924
