,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
34,-0.373704352,0.128528475,[-0.36606276 -0.34126174 -0.47771147 -0.20752655 -0.47595924],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.09999952,0.04999976
33,-0.380208896,0.145361178,[-0.38914415 -0.3407414  -0.48370279 -0.18729399 -0.50016214],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 24, 26, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.113095935,0.056547967
32,-0.374559586,0.130130798,[-0.36978068 -0.37114531 -0.46439967 -0.19264201 -0.47483025],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 24, 26, 28, 29, 30, 31, 32, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.101246182,0.050623091
31,-0.372571688,0.126632311,[-0.35955204 -0.33886066 -0.47527819 -0.21208111 -0.47708644],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 32, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.09852424,0.04926212
30,-0.370916118,0.141313287,[-0.36224136 -0.33125912 -0.46820173 -0.19130933 -0.50156904],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.109946538,0.054973269
29,-0.368435761,0.13940087,[-0.3524456  -0.34023731 -0.46661853 -0.18868402 -0.49419335],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.108458613,0.054229307
28,-0.364711523,0.118415468,[-0.35903377 -0.3302705  -0.46088193 -0.21339179 -0.45997963],"(0, 2, 3, 4, 6, 8, 9, 10, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.092131257,0.046065628
27,-0.358676316,0.098481144,[-0.38442356 -0.3408144  -0.42720072 -0.21859501 -0.42234789],"(0, 2, 3, 4, 6, 8, 9, 10, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.076621676,0.038310838
26,-0.355061393,0.097608019,[-0.35083484 -0.33687808 -0.40953232 -0.22721254 -0.45084918],"(0, 2, 3, 4, 8, 9, 10, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'nHRing', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.075942355,0.037971177
25,-0.339202508,0.084639938,[-0.33455215 -0.32749096 -0.42742414 -0.22857603 -0.37796927],"(0, 2, 3, 4, 8, 9, 10, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'nHRing', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.065852747,0.032926374
24,-0.333103116,0.077904847,[-0.31757953 -0.31418387 -0.4288974  -0.24449647 -0.36035831],"(0, 2, 3, 4, 8, 9, 10, 17, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 43, 44, 45, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'nHRing', 'JGI5', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'FCSP3', 'AATS8d', 'SssNH')",0.060612618,0.030306309
23,-0.339780533,0.081277565,[-0.31992385 -0.35752023 -0.42245439 -0.23165761 -0.36734658],"(0, 2, 3, 4, 8, 9, 17, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 43, 44, 45, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'JGI5', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'FCSP3', 'AATS8d', 'SssNH')",0.063236707,0.031618354
22,-0.331936285,0.080911805,[-0.32766549 -0.3343055  -0.41702263 -0.22292186 -0.35776594],"(0, 2, 3, 4, 8, 9, 17, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 43, 44, 45, 47, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'JGI5', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'FCSP3', 'SssNH')",0.062952133,0.031476066
21,-0.335718103,0.07692144,[-0.30505238 -0.34471125 -0.42089596 -0.242258   -0.36567292],"(0, 2, 3, 4, 8, 9, 17, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 43, 44, 45, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'JGI5', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'SssNH')",0.059847494,0.029923747
20,-0.33871055,0.089796694,[-0.29998079 -0.31693537 -0.4288541  -0.24062579 -0.4071567 ],"(0, 2, 3, 4, 8, 9, 17, 20, 22, 28, 29, 30, 31, 35, 40, 41, 43, 44, 45, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'JGI5', 'MATS1c', 'nN', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'SssNH')",0.069864879,0.034932439
19,-0.338955621,0.092013384,[-0.32583575 -0.31308169 -0.44123031 -0.22882514 -0.38580521],"(0, 2, 3, 4, 9, 11, 17, 20, 22, 28, 29, 30, 31, 40, 41, 43, 44, 45, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFHRing', 'n6HRing', 'JGI5', 'MATS1c', 'nN', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'Xch-6d', 'nBase', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'SssNH')",0.071589539,0.035794769
18,-0.336219899,0.080151646,[-0.32181758 -0.32276452 -0.43305022 -0.24131385 -0.36215333],"(0, 2, 3, 4, 9, 11, 17, 19, 20, 22, 29, 31, 40, 41, 43, 44, 45, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFHRing', 'n6HRing', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'GATS4c', 'NsOH', 'Xch-6d', 'nBase', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'SssNH')",0.062360704,0.031180352
17,-0.338945632,0.08204477,[-0.32358131 -0.32439809 -0.44325276 -0.24571829 -0.3577777 ],"(0, 2, 3, 4, 9, 10, 11, 17, 19, 20, 22, 29, 40, 43, 44, 45, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFHRing', 'nHRing', 'n6HRing', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'GATS4c', 'Xch-6d', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'SssNH')",0.063833618,0.031916809
16,-0.32196528,0.073212738,[-0.29287349 -0.3274311  -0.42229564 -0.2523399  -0.3001291 ],"(0, 2, 3, 4, 9, 10, 11, 17, 19, 22, 28, 29, 35, 43, 44, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFHRing', 'nHRing', 'n6HRing', 'JGI5', 'SaasN', 'nN', 'MATS3i', 'GATS4c', 'C3SP2', 'SlogP_VSA6', 'BIC2', 'SssNH')",0.056961998,0.028480999
15,-0.324904128,0.065955255,[-0.30466399 -0.33965029 -0.40893172 -0.25103347 -0.32024116],"(0, 2, 3, 4, 9, 10, 11, 17, 19, 22, 28, 29, 35, 43, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFHRing', 'nHRing', 'n6HRing', 'JGI5', 'SaasN', 'nN', 'MATS3i', 'GATS4c', 'C3SP2', 'SlogP_VSA6', 'SssNH')",0.051315429,0.025657714
14,-0.327801023,0.061493992,[-0.28334331 -0.35203844 -0.40508139 -0.27395974 -0.32458223],"(0, 2, 3, 4, 9, 11, 17, 19, 22, 29, 31, 43, 46, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFHRing', 'n6HRing', 'JGI5', 'SaasN', 'nN', 'GATS4c', 'NsOH', 'SlogP_VSA6', 'AATSC3i', 'SssNH')",0.047844415,0.023922208
13,-0.334255915,0.082828221,[-0.28186977 -0.34996846 -0.44505992 -0.26012163 -0.3342598 ],"(0, 2, 4, 9, 10, 11, 17, 19, 22, 29, 35, 43, 49)","('NaaNH', 'n9FaHRing', 'naHRing', 'nFHRing', 'nHRing', 'n6HRing', 'JGI5', 'SaasN', 'nN', 'GATS4c', 'C3SP2', 'SlogP_VSA6', 'SssNH')",0.06444317,0.032221585
12,-0.323970192,0.070654145,[-0.33898474 -0.33518981 -0.4136207  -0.2677708  -0.26428492],"(0, 2, 3, 4, 17, 24, 29, 30, 31, 34, 40, 43)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'JGI5', 'SlogP_VSA1', 'GATS4c', 'MATS2c', 'NsOH', 'SMR_VSA9', 'Xch-6d', 'SlogP_VSA6')",0.054971326,0.027485663
11,-0.332802642,0.046446561,[-0.3061502  -0.35698793 -0.38887602 -0.28792889 -0.32407017],"(1, 2, 4, 17, 21, 24, 29, 30, 31, 34, 40)","('SaaNH', 'n9FaHRing', 'naHRing', 'JGI5', 'n9FHRing', 'SlogP_VSA1', 'GATS4c', 'MATS2c', 'NsOH', 'SMR_VSA9', 'Xch-6d')",0.036137002,0.018068501
10,-0.320767848,0.062190042,[-0.29563789 -0.36868572 -0.38739532 -0.28912913 -0.26299118],"(1, 2, 4, 17, 20, 21, 23, 31, 40, 46)","('SaaNH', 'n9FaHRing', 'naHRing', 'JGI5', 'MATS1c', 'n9FHRing', 'PEOE_VSA1', 'NsOH', 'Xch-6d', 'AATSC3i')",0.048385965,0.024192983
9,-0.33186719,0.067559978,[-0.28649599 -0.3955381  -0.39627109 -0.29871633 -0.28231444],"(1, 2, 4, 17, 20, 23, 28, 31, 40)","('SaaNH', 'n9FaHRing', 'naHRing', 'JGI5', 'MATS1c', 'PEOE_VSA1', 'MATS3i', 'NsOH', 'Xch-6d')",0.052563958,0.026281979
8,-0.346226786,0.073300399,[-0.28987654 -0.42852522 -0.40129237 -0.30575389 -0.30568591],"(1, 2, 4, 17, 20, 23, 28, 40)","('SaaNH', 'n9FaHRing', 'naHRing', 'JGI5', 'MATS1c', 'PEOE_VSA1', 'MATS3i', 'Xch-6d')",0.0570302,0.0285151
7,-0.365587812,0.104037087,[-0.36358861 -0.43094456 -0.47674205 -0.29956895 -0.25709489],"(1, 2, 4, 20, 23, 28, 40)","('SaaNH', 'n9FaHRing', 'naHRing', 'MATS1c', 'PEOE_VSA1', 'MATS3i', 'Xch-6d')",0.080944388,0.040472194
6,-0.388143628,0.122114242,[-0.42080075 -0.43008763 -0.51370539 -0.23101201 -0.34511236],"(2, 4, 13, 31, 40, 49)","('n9FaHRing', 'naHRing', 'SMR_VSA3', 'NsOH', 'Xch-6d', 'SssNH')",0.095009029,0.047504515
5,-0.403890154,0.135677382,[-0.42006747 -0.42712605 -0.55160037 -0.22204265 -0.39861424],"(2, 4, 13, 31, 40)","('n9FaHRing', 'naHRing', 'SMR_VSA3', 'NsOH', 'Xch-6d')",0.105561613,0.052780806
4,-0.390506172,0.090031733,[-0.4107073  -0.37542986 -0.45206219 -0.262599   -0.45173251],"(4, 8, 24, 34)","('naHRing', 'nFaHRing', 'SlogP_VSA1', 'SMR_VSA9')",0.070047747,0.035023873
3,-0.398666461,0.089657895,[-0.40273844 -0.39911514 -0.47323198 -0.27073218 -0.44751457],"(4, 24, 34)","('naHRing', 'SlogP_VSA1', 'SMR_VSA9')",0.069756888,0.034878444
2,-0.533321117,0.099038686,[-0.59969984 -0.50505662 -0.64211942 -0.42941825 -0.49031147],"(4, 24)","('naHRing', 'SlogP_VSA1')",0.077055462,0.038527731
1,-0.587481191,0.154146059,[-0.66669278 -0.59925164 -0.76138714 -0.44560469 -0.46446969],"(4,)","('naHRing',)",0.119930871,0.059965436
