ID,pIC50
CHEMBL387748,7.921
CHEMBL202730,6.4
CHEMBL260923,7.051
CHEMBL436944,6.91
CHEMBL1835534,8.268
CHEMBL1835522,8.646
CHEMBL1835518,8.354
CHEMBL205151,7.041
CHEMBL2435037,5.418
CHEMBL229654,7.125
CHEMBL229497,6.444
CHEMBL425177,6.42
CHEMBL566440,4.301
CHEMBL1237161,7.377
CHEMBL206544,7.495
CHEMBL382799,6.939
CHEMBL359724,5.4
CHEMBL260239,6.125
CHEMBL125846,7.155
CHEMBL340203,7.041
CHEMBL204838,7.367
CHEMBL566439,7.102
CHEMBL338713,6.824
CHEMBL229548,7.328
CHEMBL126789,6.821
CHEMBL1164092,5.648
CHEMBL1272290,7.456
CHEMBL337978,6.561
CHEMBL1271471,7.495
CHEMBL1165374,7.585
CHEMBL492634,7.444
CHEMBL365918,4.96
CHEMBL204211,7.328
CHEMBL208437,7.523
CHEMBL202994,7.398
CHEMBL205156,7.553
CHEMBL204139,5.77
CHEMBL378167,6.609
CHEMBL206233,7.131
CHEMBL184746,5.903
CHEMBL229599,8
CHEMBL204966,7.658
CHEMBL1957672,5.678
CHEMBL118928,7.509
CHEMBL406411,7.143
CHEMBL409158,6.886
CHEMBL409356,7.31
CHEMBL234655,8.495
CHEMBL606632,5.987
CHEMBL10,4.523
CHEMBL129678,6.664
CHEMBL563207,5.43
CHEMBL1272021,7.161
CHEMBL593000,6.004
CHEMBL592977,5.721
CHEMBL1163955,6.636
CHEMBL1164843,6.593
CHEMBL229546,7.377
CHEMBL500149,6.201
CHEMBL130025,6.452
CHEMBL441176,7.071
CHEMBL261701,5.319
CHEMBL480742,7.475
CHEMBL182354,7.523
CHEMBL3260623,8.222
CHEMBL1765756,5.1
CHEMBL1957664,5.409
CHEMBL389078,7.678
CHEMBL261674,7.131
CHEMBL387747,7.337
CHEMBL3260570,7.854
CHEMBL3260593,7.959
CHEMBL3260599,7.959
CHEMBL3260604,7.222
CHEMBL3260606,7.523
CHEMBL3260609,7.602
CHEMBL3260585,8.097
CHEMBL3260597,7.824
CHEMBL204158,5.182
CHEMBL202625,5.738
CHEMBL381532,7.161
CHEMBL3341950,4.022
CHEMBL3260631,8.167
CHEMBL229496,7.137
CHEMBL382466,6.62
CHEMBL204063,7.387
CHEMBL203162,7.377
CHEMBL205736,6.971
CHEMBL3707019,6.924
CHEMBL1835624,8.423
CHEMBL1835535,8.548
CHEMBL1835531,8.481
CHEMBL1835712,7.069
CHEMBL1835628,8.385
CHEMBL1835626,8.451
CHEMBL1271632,6.611
CHEMBL1272238,8.523
CHEMBL205427,7.229
CHEMBL226733,7.036
CHEMBL237570,6.529
CHEMBL331703,5.032
CHEMBL6204,5.292
CHEMBL568357,7.569
CHEMBL3260626,7.854
CHEMBL376119,7.824
CHEMBL382838,7.328
CHEMBL377717,5.387
CHEMBL427211,4.913
CHEMBL229547,6.924
CHEMBL3261094,7.444
CHEMBL2024687,8.523
CHEMBL2024692,7.161
CHEMBL260729,5.959
CHEMBL261625,5.419
CHEMBL2435045,5.474
CHEMBL576062,8.222
CHEMBL566234,7.328
CHEMBL122583,7.149
CHEMBL120907,6.19
CHEMBL409331,7
CHEMBL565815,7.06
CHEMBL121790,5.879
CHEMBL437118,7.456
CHEMBL332344,7.319
CHEMBL379700,7.092
CHEMBL120718,6.465
CHEMBL1765760,6.4
CHEMBL362710,5.932
CHEMBL1766441,7.658
CHEMBL1765757,5.7
CHEMBL1614771,6.3
CHEMBL205260,6.719
CHEMBL341280,7.509
CHEMBL1766453,7.027
CHEMBL267228,6.585
CHEMBL126180,6.433
CHEMBL266706,5.796
CHEMBL566254,5.222
CHEMBL1272022,5.815
CHEMBL1272127,6.636
CHEMBL1765877,5.3
CHEMBL204575,7.721
CHEMBL380916,6.959
CHEMBL203791,6.914
CHEMBL268889,6.337
CHEMBL259821,7.194
CHEMBL1835620,8.245
CHEMBL2088218,7.783
CHEMBL2088215,7.658
CHEMBL2087968,7.951
CHEMBL2087967,7.991
CHEMBL511563,4.478
CHEMBL1766456,6.635
CHEMBL1164971,7.469
CHEMBL126676,6.418
CHEMBL565643,7.523
CHEMBL6250,6.77
CHEMBL3707023,6.759
CHEMBL129677,7.469
CHEMBL129760,7.357
CHEMBL261702,5.959
CHEMBL3260576,7.854
CHEMBL3260583,8.301
CHEMBL3260587,7.854
CHEMBL573287,7.523
CHEMBL120245,5.886
CHEMBL584928,7.398
CHEMBL121554,7.268
CHEMBL119936,6.959
CHEMBL338196,6.693
CHEMBL204170,7.125
CHEMBL205271,6.67
CHEMBL1164022,6.883
CHEMBL1165694,6.498
CHEMBL1164957,7.469
CHEMBL1835713,7.175
CHEMBL1835524,8.347
CHEMBL565644,6.4
CHEMBL269339,5.824
CHEMBL122414,5.582
CHEMBL1165063,7.215
CHEMBL1766444,7.125
CHEMBL3260625,7.854
CHEMBL411297,7.071
CHEMBL341534,5.754
CHEMBL496862,7.469
CHEMBL1271966,6.204
CHEMBL500435,5.461
CHEMBL1269806,8.155
CHEMBL1272181,6.107
CHEMBL1272236,5.706
CHEMBL1272237,5.587
CHEMBL1272020,7.824
CHEMBL447486,5.752
CHEMBL575720,6.131
CHEMBL1165041,5.585
CHEMBL330814,7.328
CHEMBL550483,6.19
CHEMBL1835623,8.495
CHEMBL1824432,6.815
CHEMBL1828640,7.167
CHEMBL1829512,7.495
CHEMBL1271470,7.538
CHEMBL496861,7.456
CHEMBL1272291,8.097
CHEMBL2325040,5.329
CHEMBL2324828,5.066
CHEMBL3260629,7.959
CHEMBL3260630,7.656
CHEMBL3260899,8.092
CHEMBL3260907,8.319
CHEMBL1957662,7.523
CHEMBL524647,6.498
CHEMBL1272128,9
CHEMBL606376,5.854
CHEMBL606919,5.433
CHEMBL1824226,7.42
CHEMBL2087975,7.614
CHEMBL1957660,6.276
CHEMBL1957663,5.77
CHEMBL1835536,8.398
CHEMBL1835527,8.412
CHEMBL1957661,6.886
CHEMBL1765758,5.5
CHEMBL3341954,4.553
CHEMBL2024693,8.301
CHEMBL1835709,7.404
CHEMBL1835525,8.462
CHEMBL1835112,8.55
CHEMBL186966,5.451
CHEMBL565645,7.469
CHEMBL119976,7.108
CHEMBL325405,6.821
CHEMBL278724,4.523
CHEMBL120587,7.056
CHEMBL206017,6.951
CHEMBL1765759,5.5
CHEMBL1835526,8.388
CHEMBL2321907,5.132
CHEMBL181958,5.1
CHEMBL1766451,6.996
CHEMBL1765762,6.4
CHEMBL604261,5.516
CHEMBL593708,6.252
CHEMBL2385591,5.402
CHEMBL1835523,8
CHEMBL1835528,8.18
CHEMBL1957659,6.721
CHEMBL2087976,7.215
CHEMBL203214,5.324
CHEMBL3260567,8.015
CHEMBL388978,5.163
CHEMBL2087974,8.058
CHEMBL2024686,8.398
CHEMBL2024689,9
CHEMBL1835530,9.244
CHEMBL1835533,7.807
CHEMBL377711,6.81
CHEMBL482729,5.569
CHEMBL2024691,8.699
CHEMBL584901,5.77
CHEMBL582791,5.75
CHEMBL574621,6.644
CHEMBL125738,7.244
CHEMBL1271472,7.62
CHEMBL1272182,8.155
CHEMBL497724,7.495
CHEMBL1271578,7.041
CHEMBL1271577,7.328
CHEMBL1271683,7.066
CHEMBL1271965,7.77
CHEMBL1272076,7.284
CHEMBL482728,4.796
CHEMBL260240,6.851
CHEMBL409525,7.62
CHEMBL260147,6.796
CHEMBL408181,6.279
CHEMBL205158,7.921
CHEMBL383523,7.62
CHEMBL203619,7.102
CHEMBL202943,7.602
CHEMBL381948,7.319
CHEMBL383433,5.4
CHEMBL129280,5.399
CHEMBL1271736,8.523
CHEMBL1272180,6.21
CHEMBL1271910,6.367
CHEMBL1271576,7.194
CHEMBL229598,7.337
CHEMBL129153,7.086
CHEMBL129553,6.265
CHEMBL513147,6.301
CHEMBL2024688,9
CHEMBL205570,7.721
CHEMBL203436,7.569
CHEMBL426852,5.03
CHEMBL202891,7.62
CHEMBL258641,5.921
CHEMBL3634712,7.903
CHEMBL484907,5.357
CHEMBL3634711,8.035
CHEMBL1271796,8.046
CHEMBL1272289,7.721
CHEMBL1829505,7.056
CHEMBL2088214,7.656
CHEMBL2087972,8.065
CHEMBL2087982,7.532
CHEMBL1272078,6.73
CHEMBL1271524,7.481
CHEMBL2088219,7.866
CHEMBL2087984,8.05
CHEMBL565814,7.745
CHEMBL333798,6.057
CHEMBL567706,7.824
CHEMBL121795,6.983
CHEMBL585109,6.593
CHEMBL118339,5.398
CHEMBL1829511,7.959
CHEMBL1765730,5.1
CHEMBL1765876,7.6
CHEMBL594371,6.409
CHEMBL595556,6.658
CHEMBL1765761,6.3
CHEMBL1835629,8.36
CHEMBL1835521,8.521
CHEMBL593725,5.77
CHEMBL1835622,8.674
CHEMBL2087978,7.983
CHEMBL2087979,7.81
CHEMBL2087965,7.947
CHEMBL1766455,7.056
CHEMBL1824444,7.319
CHEMBL2088213,7.821
CHEMBL226734,7.62
CHEMBL2385586,5.479
CHEMBL1808264,8
CHEMBL2385596,7.125
CHEMBL3260905,8.509
CHEMBL3260573,7.854
CHEMBL3260578,7.523
CHEMBL3260584,8.046
CHEMBL3260586,7.796
CHEMBL3260614,8.046
CHEMBL2088220,7.59
CHEMBL2088217,7.321
CHEMBL2088221,7.611
CHEMBL2087983,8.129
CHEMBL182678,5.991
CHEMBL1957653,5.658
CHEMBL1835627,8.401
CHEMBL1835625,8.294
CHEMBL1824440,7.886
CHEMBL2435034,6.62
CHEMBL3634801,7.863
CHEMBL3634710,7.378
CHEMBL3634705,7.917
CHEMBL3261083,7.244
CHEMBL3260565,7.678
CHEMBL3260588,7.638
CHEMBL3260595,7.77
CHEMBL3260600,7.77
CHEMBL3260617,7.237
CHEMBL3260564,7.886
CHEMBL1824436,6.133
CHEMBL2385579,4.963
CHEMBL3260618,7.678
CHEMBL3260900,8.585
CHEMBL3260615,7.921
CHEMBL261762,7.481
CHEMBL411741,6.032
CHEMBL1835630,8.604
CHEMBL1835621,8.4
CHEMBL3260627,8.538
CHEMBL1766454,7.292
CHEMBL4279935,6.742
CHEMBL4277446,6.706
CHEMBL3260582,8.222
CHEMBL3260611,7.108
CHEMBL3260580,7.398
CHEMBL3260610,7.229
CHEMBL1766440,6.684
CHEMBL3261096,7.745
CHEMBL3260571,7.959
CHEMBL3260575,8
CHEMBL3260581,8.046
CHEMBL3260601,7.796
CHEMBL3260608,7.26
CHEMBL3260589,8.155
CHEMBL3260590,7.921
CHEMBL1766450,7.602
CHEMBL3260621,7.77
CHEMBL3260628,7.815
CHEMBL2024690,8.222
CHEMBL406407,4.703
CHEMBL411855,7.328
CHEMBL410308,6.714
CHEMBL1688215,5.8
CHEMBL593710,5.357
CHEMBL1824438,7.086
CHEMBL1824442,7.585
CHEMBL2435036,6.097
CHEMBL2088222,7.6
CHEMBL2087985,7.465
CHEMBL1835711,6.991
CHEMBL1835532,8.53
CHEMBL1835520,8.4
CHEMBL3260572,7.854
CHEMBL3260594,7.886
CHEMBL3260596,7.824
CHEMBL3260605,7.398
CHEMBL2324833,4.462
CHEMBL2087980,7.772
CHEMBL2087966,8.154
CHEMBL3634709,7.14
CHEMBL2087971,8.033
CHEMBL2087986,7.66
CHEMBL2087973,7.801
CHEMBL2087969,7.943
CHEMBL2088224,7.674
CHEMBL2088223,7.921
CHEMBL1829504,7.114
CHEMBL1835529,8.517
CHEMBL1835519,8.625
CHEMBL4292878,6.129
CHEMBL4284609,5.911
CHEMBL2024685,8.398
CHEMBL3260624,7.824
CHEMBL3260568,8.046
CHEMBL3260598,7.77
CHEMBL3260622,7.357
CHEMBL3260569,8.155
CHEMBL3260574,7.921
CHEMBL3260613,7.409
CHEMBL2088216,7.362
CHEMBL3634706,8.035
CHEMBL1835710,7.019
CHEMBL2208002,6.62
CHEMBL497949,6.433
CHEMBL1271631,7.194
CHEMBL3634800,7.967
CHEMBL3261092,7.071
CHEMBL1271853,8.046
CHEMBL2324829,4.294
CHEMBL3260620,8.097
CHEMBL3260906,8.167
CHEMBL3261086,6.975
CHEMBL3260602,7.337
CHEMBL3260901,8.31
CHEMBL3260898,8.252
CHEMBL478629,5
CHEMBL594867,5.959
CHEMBL4217935,8.357
CHEMBL4206793,8.886
CHEMBL1824434,6.845
CHEMBL3260897,8.62
CHEMBL3261085,7.046
CHEMBL3261091,7.108
CHEMBL2435039,5.682
CHEMBL3261087,7.319
CHEMBL3341788,4.004
CHEMBL4284434,6.287
CHEMBL3634708,8.008
CHEMBL3261089,7.444
CHEMBL4211574,8.469
CHEMBL4218893,7.721
CHEMBL3260904,8.886
CHEMBL3261093,7.569
CHEMBL2435040,5.75
CHEMBL2435043,5.614
CHEMBL3341941,6.237
CHEMBL4205979,8.796
CHEMBL3634799,8.115
CHEMBL3260903,8.481
CHEMBL3260566,7.886
CHEMBL3260592,8.046
CHEMBL3260607,7.495
CHEMBL3260616,7.745
CHEMBL3260577,7.699
CHEMBL3260579,7.824
CHEMBL3260591,8.301
CHEMBL3260603,7.319
CHEMBL3260612,7.328
CHEMBL2435041,6.022
CHEMBL4217699,9.26
CHEMBL3707020,6.815
CHEMBL585117,7.495
CHEMBL2435044,6.004
CHEMBL566256,4.71
CHEMBL585505,7.602
CHEMBL585700,7.229
CHEMBL567287,6.959
CHEMBL4216706,8.854
CHEMBL4210246,8.155
CHEMBL2435035,6.187
CHEMBL4287654,7.009
CHEMBL4204772,8.77
CHEMBL4289487,6.79
CHEMBL3341942,5.638
CHEMBL2385582,6.75
CHEMBL3261090,7.658
CHEMBL4278812,6.467
CHEMBL3261095,7.538
CHEMBL3261088,7.569
CHEMBL3823101,5.289
CHEMBL3261084,7.432
CHEMBL4279160,8.523
CHEMBL4289841,7.658
CHEMBL4284266,6.094
CHEMBL4292491,6.833
CHEMBL4287843,6.261
CHEMBL4277338,7.959
CHEMBL4285692,5.712
CHEMBL4292047,8.699
CHEMBL4276896,6.391
CHEMBL4214237,8.678
CHEMBL4209583,9
CHEMBL4210079,7.208
CHEMBL4205457,9.018
CHEMBL3260902,7.75
CHEMBL3260619,8
CHEMBL3823478,5.415
CHEMBL3634704,8.011
CHEMBL3634707,7.959
CHEMBL4209835,8.284
CHEMBL4287412,5.561
CHEMBL4202469,8.167
CHEMBL3341955,3.939
CHEMBL3341790,4.086
CHEMBL3341795,4.585
CHEMBL4288745,6.863
CHEMBL4287261,5.89
CHEMBL4279331,5.284
CHEMBL4291439,6.64
CHEMBL4288634,8.222
CHEMBL4280660,8.699
CHEMBL4285292,8.301
CHEMBL4205456,8.959
CHEMBL4206910,7.602
CHEMBL4214470,8.367
CHEMBL4276907,8.699
CHEMBL4281030,6.738
CHEMBL4281195,5.702
CHEMBL4291307,8.523
CHEMBL4277755,5.599
CHEMBL4277021,7.097
CHEMBL2087981,7.445
CHEMBL2087977,7.511
CHEMBL2087970,7.714
CHEMBL4292170,6.213
CHEMBL4291675,6.812
CHEMBL4283638,4.729
CHEMBL4279172,6.64
CHEMBL4294411,5.697
CHEMBL4206220,8.409
CHEMBL4205311,8.602
CHEMBL4285400,7.013
CHEMBL4283308,6.583
CHEMBL4282287,5.85
